Fac1,Fac2,Frequency Fac1-Fac2 pair
dFac--1708376620,vcFac-1556990684,1
dFac--2121722640,vcFac-401358381,1
dFac-1847939171,vcFac--1781485739,1
dFac--813781237,vcFac--1781485739,1
dFac--313503155,vcFac--1781485739,1
dFac--313503155,vcFac--2063666527,1
dFac-729708568,vcFac-1085181026,1
dFac-729708568,vcFac--2063666527,1
dFac--830925532,vcFac-2055455241,1
dFac--830925532,vcFac-1935734788,1
dFac--602846008,vcFac-455232299,1
dFac--415444858,vcFac--1929785723,1
dFac-1826031629,vcFac--1165594343,1
dFac--1396820708,vcFac-455232299,1
dFac--892838712,vcFac-455232299,1
dFac--1369391843,vcFac-513734735,1
dFac--666958452,vcFac--1181888648,1
